dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
唐,唐代,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒,唐,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒 (唐),滿,1,1713,5.837711617046118,1,5.837711617046118
唐,唐代,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒,唐,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒 (唐),瞞,0,1713,0.0,1,0.0
唐,唐代,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒,唐,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒 (唐),輩,0,1713,0.0,1,0.0
唐,唐代,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒,唐,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒 (唐),門,0,1713,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),們,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),偉,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),弭,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),彌,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),懣,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),每,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),滿,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),瞞,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),輩,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶三元無量壽經,唐,太上洞玄靈寶三元無量壽經 (唐),門,0,4385,0.0,1,0.0
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),們,0,3262,0.0,1,0.0
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),偉,0,3262,0.0,1,0.0
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),弭,0,3262,0.0,1,0.0
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),彌,0,3262,0.0,1,0.0
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),懣,0,3262,0.0,1,0.0
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),每,1,3262,3.0656039239730224,1,3.0656039239730224
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),滿,0,3262,0.0,1,0.0
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),瞞,0,3262,0.0,1,0.0
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),輩,1,3262,3.0656039239730224,1,3.0656039239730224
唐,唐代,太上洞玄靈寶宿命因緣明經,唐,太上洞玄靈寶宿命因緣明經 (唐),門,0,3262,0.0,1,0.0
唐,唐代,太上玄都妙本清靜身心經,唐,太上玄都妙本清靜身心經 (唐),們,0,1855,0.0,1,0.0
