dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
明,明代,見素集,明,見素集 (明),們,1,347763,0.020103250293507454,52,0.02875521547720718
明,明代,見素集,明,見素集 (明),偉,18,347763,0.4988084394551414,52,0.5175938785897293
明,明代,見素集,明,見素集 (明),弭,4,347763,0.12464054635743538,52,0.11502086190882872
明,明代,見素集,明,見素集 (明),彌,13,347763,0.6813438670538612,52,0.37381780120369335
明,明代,見素集,明,見素集 (明),懣,1,347763,0.03603967247145658,52,0.02875521547720718
明,明代,見素集,明,見素集 (明),每,49,347763,1.153674469970979,52,1.4090055583831516
明,明代,見素集,明,見素集 (明),滿,26,347763,0.6913030892230684,52,0.7476356024073867
明,明代,見素集,明,見素集 (明),瞞,0,347763,0.0,52,0.0
明,明代,見素集,明,見素集 (明),輩,58,347763,1.6512134148867332,52,1.6678024976780164
明,明代,見素集,明,見素集 (明),門,125,347763,3.7008634299508563,52,3.5944019346508975
明,明代,見聞錄,智旭,見聞錄 (智旭),們,0,8486,0.0,1,0.0
明,明代,見聞錄,智旭,見聞錄 (智旭),偉,0,8486,0.0,1,0.0
明,明代,見聞錄,智旭,見聞錄 (智旭),弭,0,8486,0.0,1,0.0
明,明代,見聞錄,智旭,見聞錄 (智旭),彌,0,8486,0.0,1,0.0
明,明代,見聞錄,智旭,見聞錄 (智旭),懣,0,8486,0.0,1,0.0
明,明代,見聞錄,智旭,見聞錄 (智旭),每,4,8486,4.71364600518501,1,4.71364600518501
明,明代,見聞錄,智旭,見聞錄 (智旭),滿,0,8486,0.0,1,0.0
明,明代,見聞錄,智旭,見聞錄 (智旭),瞞,0,8486,0.0,1,0.0
明,明代,見聞錄,智旭,見聞錄 (智旭),輩,6,8486,7.070469007777516,1,7.070469007777516
明,明代,見聞錄,智旭,見聞錄 (智旭),門,6,8486,7.070469007777516,1,7.070469007777516
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),們,0,5339,0.0,1,0.0
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),偉,0,5339,0.0,1,0.0
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),弭,0,5339,0.0,1,0.0
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),彌,0,5339,0.0,1,0.0
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),懣,0,5339,0.0,1,0.0
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),每,0,5339,0.0,1,0.0
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),滿,0,5339,0.0,1,0.0
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),瞞,0,5339,0.0,1,0.0
明,明代,觀所緣緣論會釋,明昱,觀所緣緣論會釋 (明昱),輩,0,5339,0.0,1,0.0
