dynasty,period,book_name,author,full_book_info,total_chars,file_count,unique_variants_found
元,元代,圓覺經疏鈔隨文要解,清遠,圓覺經疏鈔隨文要解 (清遠),2131920,120,10
元,元代,圖畫攷,元,圖畫攷 (元),122380,80,10
元,元代,圖繪寶鑑,夏文彥,圖繪寶鑑 (夏文彥),442000,70,10
元,元代,圭塘小藁,元,圭塘小藁 (元),840970,170,10
元,元代,圭塘欸乃集,元,圭塘欸乃集 (元),266620,50,10
元,元代,圭峯集,元,圭峯集 (元),394740,40,10
元,元代,圭齋文集,元,圭齋文集 (元),1189500,170,10
元,元代,增修教苑清規,自慶,增修教苑清規 (自慶),702680,20,10
元,元代,墨史,元,墨史 (元),120610,40,10
元,元代,外科精義,元,外科精義 (元),319030,30,10
元,元代,夢觀集,元,夢觀集 (元),148640,60,10
元,元代,大學中庸集說啟蒙,景星,大學中庸集說啟蒙 (景星),759620,30,10
元,元代,大川普濟禪師語錄,元愷,大川普濟禪師語錄 (元愷),247260,10,10
元,元代,大慈好生九天衛房聖母元君靈應寶籤,,大慈好生九天衛房聖母元君靈應寶籤,50270,10,10
元,元代,大易緝說,元,大易緝說 (元),1490250,130,10
元,元代,大易象數鈎深圖,元,大易象數鈎深圖 (元),129980,40,10
元,元代,大藏聖教法寶標目,王古,大藏聖教法寶標目 (王古),894570,100,10
元,元代,大雅集,元,大雅集 (元),309340,100,10
元,元代,天下同文集,元,天下同文集 (元),573870,510,10
元,元代,天台三聖詩集和韻,梵琦,天台三聖詩集和韻 (梵琦),498960,10,10
元,元代,天台傳佛心印記,懷則,天台傳佛心印記 (懷則),44880,10,10
元,元代,天籟集,元,天籟集 (元),137790,40,10
元,元代,太上三元飛星冠禁金書玉籙圖,,太上三元飛星冠禁金書玉籙圖,19820,10,10
元,元代,太上修真玄章,元,太上修真玄章 (元),19500,10,10
元,元代,太上修真體元妙道經,劉元瑞,太上修真體元妙道經 (劉元瑞),64350,10,10
元,元代,太上元始天尊說孔雀經白文,,太上元始天尊說孔雀經白文,48250,10,10
元,元代,太上元始天尊說寶月光皇后聖母天尊孔雀明王經,,太上元始天尊說寶月光皇后聖母天尊孔雀明王經,80420,10,10
元,元代,太上元始天尊說消殄蟲蝗經,,太上元始天尊說消殄蟲蝗經,4870,10,10
元,元代,太上元始天尊說金光明經,,太上元始天尊說金光明經,3380,10,10
元,元代,太上元寶金庭無為妙經,,太上元寶金庭無為妙經,56040,10,10
元,元代,太上助國救民總真祕要,元妙宗,太上助國救民總真祕要 (元妙宗),557810,110,10
元,元代,太上日月混元經,,太上日月混元經,5080,10,10
元,元代,太上昇玄說消災護命妙經註,王玠,太上昇玄說消災護命妙經註 (王玠),40460,10,10
元,元代,太上洞玄寶元上經,,太上洞玄寶元上經,78850,10,10
元,元代,太上洞神三元妙本福壽真經,苗善時,太上洞神三元妙本福壽真經 (苗善時),24780,10,10
元,元代,太上洞神太元河圖三元仰謝儀,杜光庭,太上洞神太元河圖三元仰謝儀 (杜光庭),81300,10,10
元,元代,太上浩元經,,太上浩元經,4670,10,10
元,元代,太上混元老子史略,謝守灝,太上混元老子史略 (謝守灝),224800,40,10
元,元代,太上清靜元洞真文玉字妙經,,太上清靜元洞真文玉字妙經,15440,10,10
元,元代,太上玄元道德經解,,太上玄元道德經解,455070,20,10
元,元代,太上玄靈北斗本命延生真經註解,玄元真人,太上玄靈北斗本命延生真經註解 (玄元真人),245010,40,10
元,元代,太上紫微中天七元真經,,太上紫微中天七元真經,9580,10,10
元,元代,太上老君元道真經註解,隱芝,太上老君元道真經註解 (隱芝),44230,10,10
元,元代,太上老君說常清靜經註,元,太上老君說常清靜經註 (元),215210,10,10
元,元代,太上肘後玉經方,盧遵元,太上肘後玉經方 (盧遵元),15750,10,10
元,元代,太上道德大天尊說道元一氣經,,太上道德大天尊說道元一氣經,3020,10,10
元,元代,太上靈寶上元天官消愆滅罪懺,,太上靈寶上元天官消愆滅罪懺,25270,10,10
元,元代,太上靈寶下元水官消愆滅罪懺,,太上靈寶下元水官消愆滅罪懺,19350,10,10
元,元代,太上靈寶中元地官消愆滅罪懺,,太上靈寶中元地官消愆滅罪懺,19160,10,10
元,元代,太上靈寶淨明道元正印經,,太上靈寶淨明道元正印經,3450,10,10
元,元代,太乙元真保命長生經,,太乙元真保命長生經,6000,10,10
元,元代,太初元氣接要保生之論,,太初元氣接要保生之論,16430,10,10
元,元代,太清元極至妙神珠玉顆經,,太清元極至妙神珠玉顆經,111480,10,10
元,元代,太清元道真經,,太清元道真經,19460,40,10
